,date,location,death/case
86,2020-01-31,argentina,
87,2020-02-29,argentina,
88,2020-03-31,argentina,0.02
89,2020-04-30,argentina,0.04
90,2020-05-31,argentina,0.04
91,2020-06-30,argentina,0.02
92,2020-07-31,argentina,0.02
93,2020-08-31,argentina,0.02
94,2020-09-30,argentina,0.02
345,2020-02-29,brazil,0.0
346,2020-03-31,brazil,0.03
347,2020-04-30,brazil,0.06
348,2020-05-31,brazil,0.06
349,2020-06-30,brazil,0.05
350,2020-07-31,brazil,0.04
351,2020-08-31,brazil,0.03
352,2020-09-30,brazil,0.03
574,2020-02-29,chile,0.0
575,2020-03-31,chile,0.0
576,2020-04-30,chile,0.01
577,2020-05-31,chile,0.01
578,2020-06-30,chile,0.02
579,2020-07-31,chile,0.02
580,2020-08-31,chile,0.03
581,2020-09-30,chile,0.03
633,2020-03-31,colombia,0.01
634,2020-04-30,colombia,0.04
635,2020-05-31,colombia,0.04
636,2020-06-30,colombia,0.03
637,2020-07-31,colombia,0.03
638,2020-08-31,colombia,0.03
639,2020-09-30,colombia,0.03
689,2020-03-31,costa rica,0.01
690,2020-04-30,costa rica,0.01
691,2020-05-31,costa rica,0.01
692,2020-06-30,costa rica,0.01
693,2020-07-31,costa rica,0.01
694,2020-08-31,costa rica,0.01
695,2020-09-30,costa rica,0.01
1348,2020-02-29,israel,0.0
1349,2020-03-31,israel,0.0
1350,2020-04-30,israel,0.01
1351,2020-05-31,israel,0.02
1352,2020-06-30,israel,0.02
1353,2020-07-31,israel,0.01
1354,2020-08-31,israel,0.01
1355,2020-09-30,israel,0.01
2057,2020-02-29,oman,0.0
2058,2020-03-31,oman,0.0
2059,2020-04-30,oman,0.01
2060,2020-05-31,oman,0.0
2061,2020-06-30,oman,0.0
2062,2020-07-31,oman,0.0
2063,2020-08-31,oman,0.01
2064,2020-09-30,oman,0.01
2171,2020-03-31,peru,0.11
2172,2020-04-30,peru,0.12
2173,2020-05-31,peru,0.14
2174,2020-06-30,peru,0.13
2175,2020-07-31,peru,0.14
2176,2020-08-31,peru,0.12
2177,2020-09-30,peru,0.11
2658,2020-02-29,spain,0.0
2659,2020-03-31,spain,0.07
2660,2020-04-30,spain,0.1
2661,2020-05-31,spain,0.12
2662,2020-06-30,spain,0.11
2663,2020-07-31,spain,0.11
2664,2020-08-31,spain,0.08
2665,2020-09-30,spain,0.05
3073,2020-01-31,united states,0.0
3074,2020-02-29,united states,0.0
3075,2020-03-31,united states,0.02
3076,2020-04-30,united states,0.05
3077,2020-05-31,united states,0.06
3078,2020-06-30,united states,0.06
3079,2020-07-31,united states,0.04
3080,2020-08-31,united states,0.03
3081,2020-09-30,united states,0.03
