,Men.Index,Men.Variant,"Men.Region, subregion, country or area *",Men.Country code,Men.Type,Men.Reference date (as of 1 July),Men.Population Men,Women.Population Women,Total Population
420,405,Estimates,Burundi,108,Country/Area,2020,5899.864000000001,5990.9169999999995,11890781.0
435,420,Estimates,Comoros,174,Country/Area,2020,438.6530000000001,430.9419999999999,869595.0
450,435,Estimates,Djibouti,262,Country/Area,2020,518.993,469.009,988002.0
465,450,Estimates,Eritrea,232,Country/Area,2020,1777.5480000000002,1768.879,3546427.0
480,465,Estimates,Ethiopia,231,Country/Area,2020,57516.835000000014,57446.74800000001,114963583.0
495,480,Estimates,Kenya,404,Country/Area,2020,26718.527000000002,27052.772999999994,53771300.0
510,495,Estimates,Madagascar,450,Country/Area,2020,13814.618999999999,13876.400000000003,27691019.0
525,510,Estimates,Malawi,454,Country/Area,2020,9434.037,9695.918000000001,19129955.0
540,525,Estimates,Mauritius,480,Country/Area,2020,627.4799999999998,644.287,1271767.0
555,540,Estimates,Mayotte,175,Country/Area,2020,134.159,138.65399999999997,272813.0
570,555,Estimates,Mozambique,508,Country/Area,2020,15188.235,16067.199999999999,31255435.0
585,570,Estimates,Réunion,638,Country/Area,2020,433.3010000000001,462.00699999999995,895308.0
600,585,Estimates,Rwanda,646,Country/Area,2020,6367.431,6584.777999999999,12952209.0
615,600,Estimates,Seychelles,690,Country/Area,2020,50.439,47.901,98340.0
630,615,Estimates,Somalia,706,Country/Area,2020,7924.087,7969.131999999999,15893219.0
645,630,Estimates,South Sudan,728,Country/Area,2020,5603.014,5590.714999999999,11193729.0
660,645,Estimates,Uganda,800,Country/Area,2020,22546.589000000004,23194.410999999996,45741000.0
675,660,Estimates,United Republic of Tanzania,834,Country/Area,2020,29851.108,29883.105000000007,59734213.0
690,675,Estimates,Zambia,894,Country/Area,2020,9103.006000000003,9280.95,18383956.0
705,690,Estimates,Zimbabwe,716,Country/Area,2020,7092.010000000002,7770.917,14862927.0
735,720,Estimates,Angola,24,Country/Area,2020,16260.87,16605.39799999999,32866268.0
750,735,Estimates,Cameroon,120,Country/Area,2020,13277.074999999999,13268.788999999999,26545864.0
765,750,Estimates,Central African Republic,140,Country/Area,2020,2394.0420000000004,2435.7219999999998,4829764.0
780,765,Estimates,Chad,148,Country/Area,2020,8200.17,8225.689,16425859.0
795,780,Estimates,Congo,178,Country/Area,2020,2756.6779999999994,2761.4139999999993,5518092.0
810,795,Estimates,Democratic Republic of the Congo,180,Country/Area,2020,44710.172,44851.232,89561404.0
